adresse;codinsee;infoloc;acceshandi;payant;hommes;femmes;unisexe;enfants;web;openinghoursspecification;provenance;gid;lon;lat
Place Du Docteur Aloin;69003;Derrière église (place du docteur aloin);True;True;;;;;;;Métropole de Lyon, Open Street Map;2;4,83232540000046;45,86593599999716
Rue Etienne Richerand;69003;Place du cédre;True;True;;;;;;;Métropole de Lyon, Open Street Map;5;4,831352700000471;45,86518229999716
15 Boulevard Emile Bollaert;69029;;True;True;;;;;;;Open Street Map;7;4,8930327999998315;45,72675239999716
Place Curial;69029;Place Baptiste Curial;;;;;True;;;"[{'opens': '06:00', 'closes': '23:00', 'dayOfWeek': ['http://schema.org/Monday', 'http://schema.org/Tuesday', 'http://schema.org/Wednesday', 'http://schema.org/Thursday', 'http://schema.org/Friday', 'http://schema.org/Saturday', 'http://schema.org/Sunday']}]";ville de Bron, Open Street Map;12;4,91738889999958;45,73758369999715
Place De La Liberté;69029;Place de la Liberté;True;True;;;;;;"[{'opens': '06:00', 'closes': '23:00', 'dayOfWeek': ['http://schema.org/Monday', 'http://schema.org/Tuesday', 'http://schema.org/Wednesday', 'http://schema.org/Thursday', 'http://schema.org/Friday', 'http://schema.org/Saturday', 'http://schema.org/Sunday']}]";ville de Bron, Open Street Map;13;4,9100275999996565;45,73387139999714
Route Des Proliéres;69033;;True;True;;;;;;;Métropole de Lyon, Open Street Map;15;4,871599300000051;45,852196799997145
6 Allée des Tamaris;69034;;;;;;;;;;Open Street Map;19;4,831846000000464;45,78976419999715
3  Rue Jean-Marie Michel;69040;à côté de la Mairie annexe;;;;;;;;;ville de Champagne-au-Mont-d'Or, Open Street Map;26;4,791949100000878;45,795121199997155
Rue Du Cimetière;69040;;;;;;;;;;ville de Champagne-au-Mont-d'Or, Métropole de Lyon, Open Street Map;28;4,784932100000949;45,79356929999716
17 Avenue Lamartine;69044;;;;;;;;;;Open Street Map;29;4,739015900001423;45,78176849999716
Rue Gabrile Péri;69068;Parking face tennis;True;True;;;;;;;Métropole de Lyon, Open Street Map;36;4,832557500000458;45,84881539999715
22 Avenue Jean Bergeron;69069;Devant mairie;;;;;;;;;Métropole de Lyon;37;4,723115737319697;45,74329015281556
813 Rue du 8 Mai 1945;69069;;;;;;;;;;Open Street Map;38;4,716559300001652;45,737891899997166
Place De La Fontaine;69071;;;;;;;;;;Métropole de Lyon, Open Street Map;41;4,81997520000059;45,86970499999717
