latitude,longitude
46.34,3.61417
43.59021,1.89946
46.22322,2.54022
46.19489,2.57258
43.33417,3.27028
46.37167,3.39278
48.80833,4.59501
46.51139,5.06056
46.21028,4.92889
43.13528,1.70917
44.24139,2.54972
48.48083,-2.96584
48.13444,-2.64806
44.29694,4.86583
44.91861,5.69139
48.58639,-1.49778
48.67638,-1.00167
48.09805,-2.53445
43.34528,0.22361
48.14139,0.28027
46.20695,6.49667
47.77299,-2.93066
47.68553,2.34461
47.62963,-0.14058
48.18139,-3.02
45.93805,2.58972
45.89458,3.41997
45.61972,3.09778
47.70972,0.51889
44.32333,4.42861
48.43134,4.04566
48.37975,-2.86722
44.79305,0.63611
47.44889,-2.42
47.95389,-2.51166
45.91333,4.6625
45.7375,6.48639
42.87231,1.82955
45.03136,4.14335
45.98531,3.74723
48.32766,7.20036
45.12029,2.40901
45.24715,2.74228
44.99828,0.88049
48.31083,0.89166
47.58917,-1.32417
48.28722,7.25444
49.15277,2.07167
49.14456,1.70138
49.83667,4.19444
42.7925,1.69194
47.17166,6.82638
48.1165,0.90583
48.34402,-1.822
47.37389,-1.52195
49.1781,4.46514
49.43389,6.49472
48.53157,-0.63299
45.41059,5.84612
45.51097,6.27803
48.90036,1.61353
47.44845,4.07697
49.55223,4.61888
48.23252,-2.38416
44.88901,5.35779
48.225,7.345
45.61521,6.07272
48.57829,-0.95947
48.0662,5.18877
49.11267,2.42243
48.11341,2.40693
45.25055,2.685
48.27293,2.10794
47.52054,0.04803
47.12584,4.06084
47.92583,7.02667
45.59667,4.52278
45.93805,4.53055
44.75527,6.53223
48.27,4.41167
45.92222,0.25028
44.00167,0.23999
43.79665,0.03319
47.2875,-0.72639
46.28139,4.68028
48.53821,2.318
46.18613,5.84908
46.12892,5.73202
45.73323,5.62047
46.26362,5.52222
46.13916,5.42612
45.89336,5.4824
45.83177,5.54005
45.79048,5.57101
46.06026,5.58473
46.0029,5.52073
46.02507,5.65655
45.90755,5.63506
45.96437,5.50565
45.99802,5.46272
46.24877,5.47088
46.27207,5.58956
46.00797,5.41702
46.20365,5.65042
45.82948,5.4686
45.72919,5.59709
45.77391,5.53498
45.92533,5.53827
49.42331,3.55245
49.51482,3.78772
49.6574,3.12423
49.28906,3.53084
49.49479,3.62553
49.34389,3.36473
49.30278,3.42778
49.37389,3.725
49.43139,3.66083
49.79333,4.03722
49.36667,3.185
49.51334,3.68389
49.75889,3.56305
49.26111,3.41501
49.44306,3.61389
49.36694,3.70472
49.34694,3.16473
49.85306,4.09777
49.855,3.84444
49.77694,3.89362
49.21972,3.20584
49.25584,3.21081
49.27806,3.21338
49.26439,3.60739
49.20059,3.64016
49.57302,3.37777
49.74792,4.21754
49.73511,4.17496
49.54494,4.052
49.45775,3.18035
49.46115,3.27998
49.46468,3.24101
49.49223,3.21169
48.98131,3.61494
49.1624,3.43263
49.09695,3.21873
49.09716,3.3479
49.17085,3.59749
49.23333,3.1717
49.43099,3.14784
49.43179,3.20644
49.4848,3.13384
49.13569,3.25568
49.12159,3.32312
49.09561,3.27794
48.96228,3.42549
49.59646,3.43565
49.43563,3.474
46.51136,2.40061
46.43922,2.30757
46.42857,2.39781
46.65249,3.42528
46.61551,2.662
46.58453,2.84732
46.70105,2.79429
46.62777,2.97249
46.67601,2.91165
46.50444,2.7186
46.67996,3.11674
46.74653,3.0355
46.34258,2.34736
46.11444,2.95133
46.18339,2.9336
46.15611,3.71917
46.15667,3.62639
46.48222,3.13361
46.35777,3.92972
46.46223,3.74555
46.05028,3.53778
46.05528,3.57778
46.00083,3.66472
46.06333,3.74417
46.40917,3.54472
46.32195,3.71833
46.17722,3.56417
46.10611,3.64139
46.2775,3.585
44.24891,6.05703
44.23983,6.12391
44.16615,6.32313
44.17792,6.21492
44.15699,6.16343
44.04416,6.26472
44.03,6.36416
44.06774,6.50898
44.04544,6.44007
44.13837,5.95123
44.15638,5.86556
