latitude,longitude
49.11907,6.20408
49.95842,2.85479
48.67029,2.27976
48.63212,2.4065
48.83313,2.08501
46.55483,0.28342
48.57066,7.73904
48.67772,7.77558
43.655729,7.161446
43.712,7.2714
43.707,7.2793
44.195,4.1338
43.8356,4.402
43.8356,4.4026
43.956,3.8169
43.951,3.796
43.755,1.3626
43.077,0.6372
43.607,3.9227
46.347,6.4331
43.421,3.5489
43.631954,3.82251
47.93,-1.9418
48.02,-1.8148
48.093,-1.9957
45.875,5.3577
45.05042,5.78997
48.163,2.1271
47.48869,-0.50981
47.16631,-0.65357
49.418,1.9433
49.367,2.2466
49.336,2.0967
49.223,2.6117
49.58704,2.1366
49.50412,1.99173
49.591,3.1108
48.792,2.1795
48.766,1.9059
43.513,2.066
44.046,1.9998
43.156,5.7408
48.66542,2.33981
48.313,-3.1479
46.939,6.2086
47.503,6.7248
47.459,6.8415
47.132,6.5583
47.465,6.7025
47.331,6.3656
48.885,0.9305
49.037,1.0958
48.529,1.3172
48.26,0.9159
48.451,1.2934
48.149,1.7091
48.068,1.2355
48.13697,1.61709
46.77,1.6628
46.803656,1.694493
47.483,0.7681
47.481,0.7652
47.397,0.906
46.802,5.5765
46.816,6.0539
43.554,-1.2951
43.80084,-0.29199
47.46997,1.11729
47.418,1.2775
47.755658,-3.239926
47.8395,-3.34053
48.022,-2.8202
47.664,-2.7858
47.62196,-2.8972
48.7867,7.55887
45.58267,6.73921
46.347,6.4332
45.98988,6.63149
49.083,2.5299
48.756,0.0691
48.632,0.4816
43.976,1.4679
43.680891,7.128745
43.692385,7.243083
44.07932,2.99639
44.813,0.507
44.829,-0.465
44.845,-0.7254
44.878,-0.1659
45.132,-1.0453
44.596,-1.103
45.023,-0.1535
47.259,-2.2933
47.638,-1.9849
47.224,-1.4987
47.198,-1.2469
44.43093,0.978019
44.462,0.6923
44.07858,0.36688
47.965,-0.582
47.842,-0.6512
48.0501,-0.86753
48.3075,-0.6205
48.65425,6.92866
49.401,6.2821
48.6404,6.9047
45.684,4.9507
45.701,4.8224
45.767,4.8238
46.593,-0.2155
46.837,-0.6833
46.317,-0.4312
46.963,-0.2097
46.191,-0.0563
43.76781,2.0429
43.748,1.7308
43.636,2.2242
43.816,1.2489
44.102,1.463
44.133,1.1878
44.033,1.1635
44.092,1.0115
46.859,-1.8101
46.812,-1.8799
46.761,-1.9375
46.592041,-1.758629
46.947,-2.0249
48.164,6.4545
47.512,3.8401
48.171,3.2612
48.89088,2.20696
48.89787,2.2633
48.8089,2.19792
48.416,1.5321
48.805,2.1339
48.805,2.1339
48.78,2.1314
49.408,4.3686
49.27277,6.17428
49.874,4.3912
47.9818,4.8942
48.454,4.9626
50.777,3.101
43.48705,-1.53663
43.44979,-1.56904
49.898,2.9226
43.11,5.8124
43.10086,5.823865
43.49302,6.48663
48.59435,2.31103
48.731,3.6112
48.731,3.6124
48.844561,2.81354
48.875971,2.288479
43.6003649,3.9190434
47.467,6.0976
47.662,6.3759
47.624,6.2074
47.854,3.6523
44.959,-0.7102
48.8465,1.53482
48.43,-2.5088
45.784,3.1353
45.784,3.1353
49.525,3.754
49.036,3.2523
49.892,3.9117
46.181,6.2291
48.877,2.1067
49.399,6.2804
49.2385,6.06709
49.1422,0.41131
48.837,2.3352
48.840788,2.390433
48.8470894,2.3606053
14.60795,-61.04224
14.60745,-61.04235
49.054,1.9596
42.749,0.1912
42.74837,0.19117
44.341,4.793
49.93826,3.24409
49.618,3.4578
46.06,-0.9395
48.298,2.9475
43.252,6.0651
43.71891,3.79439
43.277,3.2855
43.586,3.9189
46.264828,6.31718
45.901,6.8611
45.85587,6.91082
45.863,6.9024
45.889,6.8748
47.203266,-1.622631
47.180606,-1.60916
49.12731,6.1618
48.91581,4.42415
47.9247787,-1.717421
48.90546,2.0739
48.816346,2.359291
43.57649,-0.65743
47.48393,-0.54887
46.81268,6.36369
46.8127,6.3637
45.67995,4.84948
48.88743,2.2516
48.70775,2.19009
48.8869,2.24157
46.299,-0.0571
45.361,4.2526
45.767,1.2911
46.364,3.0229
46.517,3.4723
46.456,3.9043
46.48,3.8307
46.36857,4.55662
46.413,4.4365
48.726,3.8492
43.16,-0.471
43.16,-0.4795
43.357,-1.7352
46.619,0.3449
46.618,0.356
48.054,6.587
49.377,6.0908
45.41358,0.85801
45.415,0.8791
48.716,0.8628
48.967,0.9336
49.085,0.5739
48.416,1.4759
47.372,0.6533
47.56,0.6094
47.321,0.7027
47.372,0.6534
47.593,0.7401
48.108,1.891
47.94,2.356
47.93,2.3378
47.934,1.9303
48.977,2.4732
48.997,2.4822
48.173,3.3941
47.964,3.813
47.792,3.6229
47.921,4.0192
48.176,3.1904
45.796,4.9344
48.344,4.2055
48.332771,4.093514
43.736,4.4634
43.937,4.604
43.584,1.4965
43.634,1.421
43.686,-0.1748
45.243,5.8603
47.797,1.0737
47.3446,-0.06767
48.643,5.066
50.551,3.0602
50.64,2.937
50.85,1.7236
50.7029,1.62584
48.339,7.5412
45.777,4.9715
46.734,4.8358
46.733,4.8355
48.903,2.0053
48.778,2.2135
48.506,1.8357
48.798,1.7733
43.841,2.1858
43.999,1.3646
48.142,4.6167
43.53074,4.95997
43.656,4.6519
43.404368,5.341811
45.268,3.2021
45.175,3.1705
45.372,1.5736
45.527,2.339
47.50559,6.82946
47.50559,6.82946
48.18,1.3748
48.751,1.4536
48.454,1.4482
46.605,1.5017
47.117,0.5987
47.415,0.7295
48.822,2.37965
47.165,-1.5229
47.767,1.569
44.266,0.2796
48.734,-1.2957
48.277,5.1119
48.783,0.318
48.589,7.7303
45.585,5.9082
45.567,5.9427
46.075,5.9057
46.001,6.0052
48.692,3.1871
49.99,3.0073
49.658,2.7086
49.951,1.942
50.121,1.7958
49.957,2.8766
43.947,5.0278
44.025,4.8731
43.971,5.019
45.849,1.2761
48.163,5.707
48.609,2.3333
48.609,2.3332
49.035,2.4873
49.06,2.3584
47.165,-1.5225
47.165,-1.5225
45.851,0.5038
45.617,0.1009
45.678,0.1485
43.633,-0.6183
46.215,1.7227
46.19299,1.9536
46.761,-1.4307
50.523,3.0409
43.732,7.2953
43.797,7.4834
47.2836,2.19036
47.294,2.2123
44.744,-0.7043
44.593,-0.843
44.977,-0.432
49.222,2.6418
49.0878619,2.7327044
45.81559,4.917147
45.731,4.9788
45.914,4.3522
46.701,4.3962
46.376,4.862
46.191,-0.0572
43.807,1.3215
43.894,1.3054
43.956,1.4404
48.625,2.3604
47.633,6.1594
47.251,-1.4765
45.031,-0.4199
48.647,4.8641
45.85,5.2976
49.364,3.3451
49.364,3.3449
49.727,4.4277
49.753,5.0284
46.199,-1.0354
46.126,-1.106
45.3,-0.2388
48.82352,2.31005
49.431253,2.810755
49.316967,2.442069
48.146,7.3689
47.887,6.91
46.894,4.8527
43.909,1.7595
43.916,2.2793
43.621,2.3086
44.292,1.8687
44.218,1.5165
42.739,2.8873
46.824,0.5191
43.17,2.7785
43.47254,2.85574
43.629,3.6938
48.14634,7.36874
50.583,3.0907
50.589,3.0965
48.867,6.0934
48.921,6.1098
48.536,2.2093
48.703,5.4252
48.693,5.3376
44.783,-0.6321
47.363,0.7134
47.396,0.707
49.382,4.5778
48.485,3.4819
48.496,4.1362
44.39,2.695
46.065,0.6756
45.989,0.2005
48.517,-2.745
48.51,-2.7402
47.934,1.9304
47.816,5.4976
50.36674,2.31171
45.765,4.9072
45.76502,4.90727
48.341,6.3143
48.1735,3.3715
48.022,3.3137
48.746,0.9892
48.742,0.9608
43.592,1.3988
43.581,0.5401
43.782,-0.0235
47.796,1.0742
49.556,-1.564
48.691,-1.3606
48.767,4.5832
50.604,2.9455
45.557,5.7306
45.571,5.9364
49.4729,0.94695
43.369,6.5964
43.382116,6.589798
48.62899,2.35524
43.542,4.9559
43.711,-1.2282
44.139,-0.9731
44.4124,-0.81969
43.354,-0.5332
48.95,2.4492
43.943,-1.083
43.389,3.4582
43.475,3.6513
49.541,2.7273
49.541,2.7273
48.967674,2.510128
45.957,5.3272
46.197,1.78434
44.871,-0.6426
49.4168,1.04682
43.827,3.3157
43.608,1.4101
45.695,4.8309
45.671884,4.772833
45.195,6.6222
49.47274,1.02779
45.67,0.0328
46.46028,0.26737
45.235,1.5126
45.971,2.1899
43.663,0.6237
45.17387,5.38752
43.67753,-1.25692
43.85228,-1.11816
46.8815,0.1417
43.13936,0.31168
43.6077,1.31941
46.1489,6.15028
43.97436,4.86708
43.1907,3.06719
43.1919,2.4151
43.192543,2.3697
43.6353,1.42083
51.01468,2.38797
50.998,2.28695
49.36362,3.48006
49.42835,1.05613
49.78055,1.7445
49.7861,1.4865
49.01541,2.1454
