longitude,latitude,Nom de l'installation,prompt
46.3146069322,-0.501541858371,QUARON France (ex. SOLVADIS),seveso
43.6516807788,6.92764046057,ROBERTET SA,seveso
49.8631089521,2.53589119556,ORTEC SERVICE ENVIRONNEMENT EX TRD,seveso
43.6961845678,6.97627746363,MANE ET FILS NOTRE-DAME,seveso
48.6984373951,2.88368321724,FM LOGISTIC,seveso
49.6523048573,3.33338661585,TERIS SPECIALITES,seveso
48.1158475227,6.53620774581,COVERIGHT SURFACES FRANCE SNC (ex-Casco,seveso
46.6755777318,-0.0608782706811,MAXAM ATLANTIQUE,seveso
48.5774716619,2.97290629791,TOTAL Raffinage France,seveso
46.5785475997,5.43924475369,SPEICHIM PROCESSING S.A.,seveso
46.9689922593,0.173420801399,TERRENA,seveso
48.249005194,0.316747964655,SARREL,seveso
51.0290347487,2.24863357319,VERSALIS FRANCE SAS Dunes (ex POLIMERI),seveso
48.8406113728,6.25247170659,SITA FRANCE DECHETS,seveso
49.1450019734,6.7141063319,TPF,seveso
47.8489399503,2.73594266314,CAPROGA,seveso
51.0529961754,2.34196153486,HYDROPALE,seveso
45.2697944097,6.37298473158,LRF,seveso
45.642120449,5.1241468241,AIR PRODUCTS LIDA 1,seveso
43.4102262894,-0.636913360981,TOTAL E&P France,seveso
49.1034799178,1.46306927309,INNOSPEC (ex GAMLEN INDUSTRIES),seveso
48.8728491745,2.6557297133,EDF TAC,seveso
48.0828287188,1.85494334684,ND LOGISTICS,seveso
48.9480583155,2.29586530223,SITA REKEM,seveso
43.7057321142,1.40055436571,TRIADIS SERVICES,seveso
45.9783659262,4.72279545067,BAYER SAS,seveso
47.3435183891,1.92039719394,MBDA France,seveso
49.0399463596,2.13768103314,SOL FRANCE (ex GAZ TECHNIQUES DE FRANCE),seveso
43.1737549047,-0.604800525396,Messier Bugatti Dowty,seveso
47.8716534314,-0.506310989718,APROCHIM SA,seveso
45.5677142342,-0.670256363809,URANIE INTERNATIONAL SAS,seveso
45.5730153604,4.93060077847,ESSO SOCIETE ANONYME FRANCAISE,seveso
49.2840017236,2.50565171552,ARKEMA,seveso
43.700143823,1.39693928084,TOTALGAZ,seveso
45.3603149159,4.79583217211,RHODIA OPERATIONS,seveso
46.1538563657,0.229486497156,CENTRE OUEST CEREALES,seveso
49.05992649,2.1214766664,FINANCIERE LOGIMMO ET DEVELOPPEMENT,seveso
49.49670634,0.184853051882,SEPP,seveso
50.3968134587,2.92767156738,POLYNT COMPOSITES FRANCE,seveso
48.1964108371,1.95827392942,SOCIETE VERMANDOISE INDUSTRIES,seveso
48.274798539,1.61608586024,SCAEL,seveso
50.304739765,3.42808592196,ANTARGAZ,seveso
43.9074013548,4.71425452617,Société EXPANSIA,seveso
49.2073869175,2.92311691538,BUTAGAZ,seveso
48.9742145743,2.49727197291,NORD STOCK CHEM,seveso
45.8352744627,5.26411730804,SPEICHIM PROCESSING S.A.,seveso
46.6557675092,3.6459768898,COOPACA,seveso
49.9380612268,2.27100704824,PROCTER et  GAMBLE AMIENS,seveso
45.5712054021,-0.683951628785,LATREUILLE R. SAS,seveso
46.5631267842,0.559817289935,TERRENA POITOU,seveso
47.4954630111,6.83358253783,ALFI,seveso
49.3607008528,1.11069044066,YARA,seveso
48.9890225263,2.64510914991,GEREP,seveso
43.7259396409,4.46255634119,Société SITA FD Cet1,seveso
47.2411530774,5.98448557411,BLONDEL,seveso
50.4778417345,3.23182645738,OREXIM ORCHIES (ex PARCOLOG),seveso
48.3153695004,-1.15277343122,SOCIETE ELIARD SPCP (Le Clairay),seveso
43.4576203152,4.85286242392,Air Liquide France Industrie,seveso
43.416273557,-0.631155453173,PERGUILHEM SAS,seveso
43.4607239319,5.1465901671,COMPAGNIE PETROCHIMIQUE DE BERRE SAS,seveso
45.354926352,6.2992639295,ARKEMA,seveso
48.2804552799,-3.56014279235,SOCIETE LESEUR,seveso
47.9369745188,1.83298971118,PROLOGIS d'ORMES (SCI),seveso
46.0788403184,6.50890138546,ALPHA SERVICES,seveso
50.6122708632,3.18838268127,P. BRABANT,seveso
48.7581711977,2.41694099745,VEOLIA EAU ILE DE FRANCE,seveso
45.601583603,4.09143030987,BECKER INDUSTRIE,seveso
46.80648078,1.72729710256,CECA,seveso
49.5804652329,0.500727266767,ORIL INDUSTRIE Bolbec,seveso
50.60787283,2.67773474484,ROQUETTE FRERES,seveso
49.4812751934,0.284967350866,OMNOVA Solutions SAS,seveso
43.6721543836,4.43641147229,DEULEP,seveso
43.2162555366,2.33422275977,CHIMIREC-SOCODELI CARCASSONNE,seveso
47.5799322587,7.57986862064,CLARIANT PRODUCTION (France),seveso
43.6469793364,6.95121301432,CHARABOT PLAN,seveso
47.7402914907,1.9161765805,TDA ARMEMENTS SAS,seveso
42.6628337178,9.44645716209,GDF,seveso
47.3981422514,0.702565742802,STMICROELECTRONICS SAS,seveso
47.8136561146,7.19941740831,DU PONT DE NEMOURS Satellite 1,seveso
49.3123491543,1.18306874309,DA ALIZAY,seveso
44.8045133883,4.78752271172,JINWANG EUROPE (ex OCM),seveso
44.0670572088,5.9997406961,ARKEMA france,seveso
46.252578392,-0.468768239517,DE SANGOSSE sa,seveso
43.09546616,0.724065171224,FIBRE EXCELLENCE SAINT-GAUDENS,seveso
48.9478264574,2.29009304929,SOGEPP,seveso
45.1743530646,5.70499268569,EUROTUNGSTENE POUDRES,seveso
43.6110273742,2.24392905539,SEPIPROD,seveso
45.3623667589,6.28836568127,PACK SYSTEME MAURIENNE,seveso
45.1318608033,5.70627013349,VENCOREX FRANCE,seveso
49.7878418623,2.47032277233,GAZ ENERGIE DISTRIBUTION,seveso
46.1555524194,-1.21102490663,POITOU CHARENTES ENGRAIS,seveso
49.1431762129,6.70822696641,TPF,seveso
45.0927232963,5.7358295721,SOGIF,seveso
48.5382687382,2.36434466274,HERAKLES,seveso
43.422540471,4.89353756042,RTDH,seveso
45.2693853753,-0.51778632494,LES VIGNERONS DE TUTIAC,seveso
49.4921692795,0.515221487727,TEREOS BENP,seveso
43.4617602711,4.91853742432,SOCIETE DU PIPELINE SUD-EUROPEEN,seveso
47.0786946687,2.53015823902,AXEREAL,seveso
45.6810285459,4.85424833627,AIR LIQUIDE FRANCE INDUSTRIE (FEYZIN),seveso
49.5067778231,2.93861161172,MOMENT Specialty Chemicals France (5839),seveso
43.9909998816,-1.03520897465,GRANEL S.A.,seveso
48.6011439891,7.81020180079,TREDI Strasbourg,seveso
47.3300569052,0.653936172447,AIR LIQUIDE FRANCE INDUSTRIE,seveso
44.8287411585,0.335824897442,BERKEM SAS,seveso
47.7767000437,-3.33486648276,GUERBET,seveso
45.060293789,4.9535124704,CHEDDITE FRANCE,seveso
46.9348196957,3.25661297596,APERAM ALLOYS IMPHY,seveso
46.9886609713,-0.944920631098,EPC FRANCE,seveso
44.9278865822,1.84330002386,SNCF EIV Quercy/Corrèze,seveso
43.331569198,3.27020895186,MINGUEZ (ENTREPOTS CONSORTS),seveso
49.0191822988,2.17338246802,LOGIGAZ NORD SAS,seveso
45.6929154579,4.91895038817,CREALIS,seveso
47.2462484925,6.14509411942,SFPLJ,seveso
46.8111346667,-0.140811040879,CIMENTS CALCIA sas,seveso
45.6662820979,-0.270851965792,CHARENTAISE DE DECOR,seveso
48.9598301844,8.195040966,EVONIK OIL ADDITIVES SAS,seveso
48.3882281789,-4.44786021358,CCI de Brest - STATION DE DEBALLASTAGE,seveso
45.7044361355,4.76811739536,ADG,seveso
49.4759727428,0.337373361004,PROLOGIS,seveso
47.6741175035,0.303695263954,AG FRANCE SAS,seveso
47.9503299715,1.61782358245,LEPLATRE,seveso
45.3605751204,4.79757808216,SITA REKEM,seveso
49.2785996197,4.00016596753,CALDIC,seveso
50.3577794774,3.27570658517,COEUR ALPHA,seveso
49.7035194145,3.36619519621,ARF,seveso
44.3445965841,4.73129667015,COMURHEX S.A,seveso
49.775629568,1.7560497578,BUTAGAZ SAS,seveso
49.0391247101,4.3297755215,SEVEAL (ex CHAMPAGNE CEREALES),seveso
43.6499956789,6.95175603762,KERRY FLAVOURS FRANCE SAS,seveso
43.7792511206,7.20987849926,Compagnie des Gaz de Pétrole PRIMAGAZ,seveso
43.3865785172,-0.606721849654,ROLKEM,seveso
47.2799017976,5.0537730288,HYGIENE ET NATURE SAS,seveso
43.7747760153,2.05077690834,SA OCCITANIS,seveso
49.1999998568,0.359489473742,MC BRIDE,seveso
47.7705787854,7.36990979308,TYM Illzach,seveso
49.1407980748,6.70916778782,ARKEMA,seveso
43.2840209362,5.50132773239,ARKEMA FRANCE SA,seveso
45.6943514769,4.91660946639,EC MAYET,seveso
46.8037049539,4.43096279356,INDUSTEEL FRANCE,seveso
45.8140904899,3.13649728265,BOLLORE ENERGIE,seveso
48.9664696498,2.91677965297,DAHER,seveso
43.3096408513,1.94912231908,SILOS ARTERRIS Loudes,seveso
50.6294158676,3.07331254966,LABORATOIRES ANIOS,seveso
43.9946736386,4.858163708,EURENCO Sorgues,seveso
45.1738956644,5.70490683837,SANDVIK HYPERION SAS,seveso
46.5587679194,4.90786441819,VALSPAR FRANCE CORPORATION,seveso
49.2275254363,5.93759944992,TITANOBEL (Moutiers),seveso
49.1432533613,6.70864407002,TPF,seveso
48.7195792267,-0.0505903933293,DISTRISERVICES,seveso
47.7600027729,7.37528403294,BOLLORE ENERGIE Riedisheim,seveso
46.5472616765,0.777749456401,CENTRE OUEST CEREALES,seveso
43.4088859896,-0.6247844278,Séché éco-industries,seveso
47.9475013592,6.76906916638,SCIERIE GERMAIN-MOUGENOT,seveso
46.4995164802,-1.79025046818,CAVAC UCA,seveso
45.7454220428,3.16148448315,ANTARGAZ,seveso
48.2281582652,2.70595763426,KERAGLASS,seveso
48.117398444,-0.843034690428,SECHE ECO INDUSTRIES,seveso
44.8348837976,0.502227997188,MARY ARM,seveso
46.9971482309,5.34102752388,INTERVAL,seveso
48.2824014954,-2.80800774524,FINAGAZ,seveso
48.3152334728,3.24625231154,TITANOBEL,seveso
49.2918860468,1.10428652743,SAGA FRANCE,seveso
47.1892300009,-1.6213785194,SOGEBRAS (ex COGEMAR ex SCAC Cheviré),seveso
47.3841439747,0.743329835471,PRIMAGAZ CGP,seveso
45.7132908891,-0.368748172963,MARTELL,seveso
48.7399057258,1.92286659991,TRAPIL,seveso
43.8881275869,4.52689786888,HYDRAPRO SAS,seveso
45.6565919729,4.84436161919,RHONE GAZ,seveso
50.2659200242,2.71990877929,PRIMAGAZ,seveso
44.870322274,-0.729189639482,HERAKLES SA,seveso
49.2849952134,2.50678281434,CHEMOURS FRANCE,seveso
49.2084232322,0.71140851376,HOWA TRAMICO,seveso
49.9303364391,2.26516125172,SCA NORIAP PL1 (ex IPBM),seveso
45.7777412752,5.0279840384,Merck Santé,seveso
45.6951464906,4.84526146346,BLUESTAR SILICONES FRANCE SAS,seveso
48.533952516,4.12635989168,SCARA - Arcis-sur-Aube,seveso
44.0025713181,4.8759316125,CAPL,seveso
50.1412438557,4.81281969008,ARDENITY SAS,seveso
43.4191499062,4.7349372116,M2I SALIN,seveso
47.3904698835,1.48393072954,STORENGY,seveso
45.0556225891,5.09362428928,COVESTRO ELASTOMERS,seveso
48.7708840423,1.51879710079,SCAEL,seveso
49.4978349172,0.529774864073,EXXONMOBIL CHEMICAL FRANCE,seveso
43.5963939481,4.8523644677,EURENCO,seveso
43.4904673984,5.18856975757,COMPAGNIE PETROCHIMIQUE DE BERRE SAS,seveso
47.2780337116,-1.47307534917,SYSTEME U (Haute Forêt),seveso
47.2671573168,-1.49479577076,AIR LIQUIDE FRANCE INDUSTRIE (Carquefou),seveso
47.5192007447,-0.614695204613,ZaCh System SA,seveso
43.2490230669,0.0847582647895,NEXTER MUNITIONS SA,seveso
47.0112289305,2.31512957466,VIA LOGISTIQUE,seveso
46.290746591,4.82514904737,STODIS (Ex STOGAZ),seveso
49.1407980748,6.70916778782,ARKEMA,seveso
45.3387252041,4.80147025401,THOR,seveso
44.9152892546,-0.535514309005,LINDE GAS,seveso
44.9258921511,-0.520629439881,FORESA FRANCE SAS,seveso
49.4097896475,1.02167997353,RUBIS TERMINAL,seveso
48.0801205899,-1.72877567759,QUARON,seveso
